stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
AAPL,229,5.027080663089464,6.908961835113434,7.790291626635792,10.30551981444584,3.1991260425602714,-14.38106102,42.5314744531143,-0.118435169
MSFT,417.1400146484375,8.732299439039934,11.36272590390971,13.057661666516537,15.397086967295936,5.373052181233199,-22.57117299,23.68819222270696,0.012424074911879347
AMZN,178.5,5.143571733111571,6.644265484343716,7.285857157531751,9.507609082077954,3.059414891335056,-24.50813948,25.460955065268138,-0.196041158
TSLA,214.11000061035156,11.738501999120842,17.392918637688002,19.959890492895028,29.28157126603035,7.678286997183714,-113.4725729,51.37677810194464,-0.312516316
GOOGL,163.1634979248047,4.021311216114128,5.694283320607359,6.617787811796518,8.620445651905195,2.7812348921554157,-21.63911744,53.076366766595925,0.06861932682522823
GOOG,164.8929443359375,4.010908002967284,5.622361998359726,6.4032368996966795,8.464402938528728,2.8260926078025723,-19.15840919,60.76956361505336,0.09184435018638994
META,521.3099975585938,16.74816532324553,22.7045092464252,25.787222816659266,33.20748277136861,10.451430752146244,-62.01662154,81.97854055960556,-0.469315337
NVDA,119.35979461669922,5.982578707561146,8.012010166600687,9.039874813068451,11.825541587496554,3.786994575976579,-26.92281922,31.523885498637384,-0.14632425
BRK-B,475.9200134277344,6.493711243604196,8.333449413816295,9.450035096020542,11.01514326151017,3.8553698424668146,-14.85049207,15.983227612074018,-0.082732972
JPM,224.8000030517578,3.7690945152929487,5.613774761439678,6.391965369455221,9.198407642775082,2.577280079546826,-22.123528,28.769629761947044,0.14858904538347115
JNJ,165.86000061035156,2.531353894112499,3.6276815241514124,3.9903656337032487,5.921917583014831,1.6299137711061724,-22.17375612,11.125782952024025,0.002493938790871499
UNH,590.2000122070312,11.900138585568357,19.017884193015234,22.326693370684325,32.03402529724674,8.65693396306136,-73.00207565,104.1319272670031,0.06473157656239144
HD,368.5,7.789210188722166,10.422272492975273,12.009305247737018,14.696316629967082,4.88531679492939,-25.55398571,34.955244950007284,-0.069783409
PG,171.5399932861328,2.40036000094031,3.5453246050189513,4.173812965345377,5.581758069175721,1.5920244788028515,-11.47029622,19.791439941731397,-0.00040051
V,276.3699951171875,4.252089206443657,5.63493324147165,6.741821254379772,7.775353690910682,2.6563733318178118,-14.96332902,24.850849810656598,0.0916149420049133
BAC,40.486045837402344,0.9603540401295234,1.415923509481092,1.6758140475100092,2.1685757126708634,0.6117347839835645,-3.772241883,6.487585527480405,-0.038798349
MA,483.3399963378906,7.623783751989379,10.40212853979636,11.820596369104237,15.497355553702837,4.894019267621529,-29.86157193,34.2422071404103,0.2306617577007379
PFE,29.010000228881836,0.7193868901863532,1.061190944872628,1.2468321901362884,1.7551842789260792,0.47083205913332343,-3.657234404,2.6336126200217116,-0.002348856
XOM,117.94000244140625,2.441336198869635,3.238750290992153,3.7127789552826016,4.4640705330238175,1.5185131990292258,-5.854350761,7.5554511282795715,0.005627570701472635
DIS,90.37999725341797,2.0935120038486303,3.1582612236876693,3.573999619160503,5.319147687628448,1.4675852433006324,-21.00640989,14.017410153273872,0.02857927539522425
CSCO,50.540000915527344,0.8389038660786525,1.3783781108578108,1.5650604576860943,2.5869834955938784,0.6326793739743599,-10.94985861,4.495757878147224,0.0225684467124765
AVGO,162.82000732421875,6.956009405805332,9.97862518222778,11.219253972122658,15.294387982891175,6.134985563212575,-37.12605925,302.94126331244115,-0.193237534
ADBE,574.4099731445312,15.458274161506438,27.027844311202106,29.434430389466456,55.474406154953755,12.470108898386492,-227.4625777,141.02360875838372,0.3766711617972157
CVX,147.9499969482422,2.8095247809752664,4.467760541054649,5.31114777348057,7.7140204284440435,1.9982254351624054,-25.42277547,17.13724326730207,0.10179652648082238
PEP,171.57351684570312,2.8916159412104605,4.286596927555551,4.709529860877296,6.904599974243454,1.9446825757081196,-27.39305501,24.395784886555873,0.000607770051268858
TMO,614.679443359375,13.024067936573601,19.017550583189184,22.689844783711692,30.58795035874102,8.4645433878115,-58.45624212,104.27134063822189,-0.360614789
KO,71.97655487060547,0.9640167701375475,1.4298636944055183,1.696702009883552,2.3550004719576556,0.6282929325002057,-4.998735532,5.5225808074731475,-0.022433894
ABBV,196.30999755859375,3.5366653619821022,5.710167120803539,6.73077895540041,9.546242236739648,2.4024799818673843,-20.88041977,20.125335049797656,0.011735253652051528
CMCSA,39.56999969482422,0.8487291841886062,1.2748481845327502,1.5121027227759,2.085822081614458,0.5666651644107846,-5.022395978,4.26349662893243,0.012402072140498687
NFLX,701.3499755859375,19.784635528637182,30.521771776336397,34.462884191870444,52.61868012572691,13.703737952570647,-179.0852929,190.10152220947884,-0.400568831
ABT,113.2699966430664,2.0568006041328317,3.363935337934215,3.9356455238807655,5.818535350148153,1.4796788185802896,-18.55578649,18.817747756076415,-0.070869939
ACN,341.95001220703125,6.596709568512495,9.772318705652436,11.52587187478963,15.911743321225204,4.699682481877265,-51.47430829,45.40773764841691,0.36271446732738694
COST,892.3800048828125,16.294802555423644,23.56429051971611,27.054510572219783,38.23046693747415,10.610640524090785,-110.056792,77.37460178686536,0.25660812269488026
CRM,252.89999389648438,6.664537189400704,11.184286596997634,12.765659833150067,21.217738634166864,5.2267730330669915,-73.63175617,74.17191240303117,-0.030873789
INTC,22.040000915527344,0.8542323439517894,1.3280014958388173,1.4978101038089235,2.259261102338792,0.6298205233334281,-4.825481374,11.387725612401383,0.026683669704522465
WFC,58.470001220703125,1.3176142236350685,1.924704583817742,2.3167018521681726,2.928857588753109,0.8710327344494706,-8.756710298,7.646915643188592,-0.001665558
